config,bar_size,horizon,target_type,features,params_idx,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h15_magnitude_0.001_base_p3,4h,15,magnitude_0.001,base,3,201,0.6119,2.845527,5.195,2.002,-0.0826,12845.53
4h_h15_magnitude_0.001_base_p4,4h,15,magnitude_0.001,base,4,297,0.5253,2.206666,4.031,1.614,-0.0809,12206.67
4h_h15_magnitude_0.001_ta_p0,4h,15,magnitude_0.001,ta,0,235,0.5915,2.629849,4.742,1.825,-0.0819,12629.85
4h_h15_magnitude_0.001_ta_p1,4h,15,magnitude_0.001,ta,1,243,0.5267,1.639481,2.88,1.429,-0.0826,11639.48
4h_h15_magnitude_0.001_ta_p2,4h,15,magnitude_0.001,ta,2,214,0.5514,2.089358,3.745,1.629,-0.0826,12089.36
4h_h15_magnitude_0.001_ta_p3,4h,15,magnitude_0.001,ta,3,174,0.5287,1.733355,3.197,1.561,-0.0826,11733.35
4h_h15_magnitude_0.001_ta_p4,4h,15,magnitude_0.001,ta,4,294,0.5306,2.144835,3.873,1.579,-0.0826,12144.84
4h_h15_magnitude_0.001_more_lags_p0,4h,15,magnitude_0.001,more_lags,0,216,0.5556,1.965731,3.558,1.601,-0.0824,11965.73
4h_h15_magnitude_0.001_more_lags_p1,4h,15,magnitude_0.001,more_lags,1,292,0.5068,1.577401,2.868,1.405,-0.0826,11577.4
4h_h15_magnitude_0.001_more_lags_p2,4h,15,magnitude_0.001,more_lags,2,244,0.5615,1.67109,3.015,1.46,-0.0881,11671.09
4h_h15_magnitude_0.001_more_lags_p3,4h,15,magnitude_0.001,more_lags,3,187,0.5936,1.385256,2.5,1.403,-0.0826,11385.26
4h_h15_magnitude_0.001_more_lags_p4,4h,15,magnitude_0.001,more_lags,4,240,0.5875,2.964685,5.232,2.01,-0.0826,12964.69
4h_h15_magnitude_0.001_ta+lags_p0,4h,15,magnitude_0.001,ta+lags,0,197,0.5939,2.939504,5.589,2.164,-0.0826,12939.5
4h_h15_magnitude_0.001_ta+lags_p1,4h,15,magnitude_0.001,ta+lags,1,192,0.5365,1.525661,2.814,1.456,-0.0826,11525.66
4h_h15_magnitude_0.001_ta+lags_p2,4h,15,magnitude_0.001,ta+lags,2,246,0.5366,2.092987,3.743,1.566,-0.0825,12092.99
4h_h15_magnitude_0.001_ta+lags_p3,4h,15,magnitude_0.001,ta+lags,3,171,0.5906,1.980864,3.714,1.692,-0.0826,11980.86
4h_h15_magnitude_0.001_ta+lags_p4,4h,15,magnitude_0.001,ta+lags,4,223,0.4888,1.297711,2.351,1.346,-0.0938,11297.71
4h_h15_binary_base_p0,4h,15,binary,base,0,245,0.5673,1.816297,3.138,1.481,-0.0823,11816.3
4h_h15_binary_base_p1,4h,15,binary,base,1,279,0.5627,2.151969,3.891,1.599,-0.0822,12151.97
4h_h15_binary_base_p2,4h,15,binary,base,2,188,0.5479,2.28613,3.9,1.729,-0.0823,12286.13
4h_h15_binary_base_p3,4h,15,binary,base,3,218,0.555,1.768262,3.289,1.529,-0.0823,11768.26
4h_h15_binary_base_p4,4h,15,binary,base,4,200,0.555,2.290576,4.506,1.866,-0.0823,12290.58
