config,bar_size,horizon,target_type,threshold,max_hold,n_trades,win_rate,total_net_return,sharpe,profit_factor,max_drawdown,final_equity
4h_h30_magnitude_0.002_t0.75_hold10,4h,30,magnitude_0.002,0.75,10,62,0.5,-0.084222,-0.698,0.939,-0.0823,9915.78
4h_h30_magnitude_0.002_t0.75_hold15,4h,30,magnitude_0.002,0.75,15,44,0.4773,0.019157,0.182,1.018,-0.071,10019.16
4h_h30_magnitude_0.002_t0.75_hold30,4h,30,magnitude_0.002,0.75,30,25,0.44,-0.428566,-6.648,0.471,-0.0446,9571.43
4h_h30_magnitude_0.002_t0.75_hold60,4h,30,magnitude_0.002,0.75,60,17,0.1765,-0.861081,-11.858,0.167,-0.0748,9138.92
4h_h30_magnitude_0.001_t0.52_hold5,4h,30,magnitude_0.001,0.52,5,1554,0.4118,-7.257692,-9.354,0.659,-0.7258,2742.31
4h_h30_magnitude_0.001_t0.52_hold10,4h,30,magnitude_0.001,0.52,10,818,0.4756,-0.993149,-1.465,0.915,-0.2082,9006.85
4h_h30_magnitude_0.001_t0.52_hold15,4h,30,magnitude_0.001,0.52,15,566,0.5265,0.876145,1.309,1.104,-0.1748,10876.15
4h_h30_magnitude_0.001_t0.52_hold30,4h,30,magnitude_0.001,0.52,30,339,0.5929,2.588166,4.283,1.522,-0.1413,12588.17
4h_h30_magnitude_0.001_t0.52_hold60,4h,30,magnitude_0.001,0.52,60,212,0.6179,3.083326,5.762,2.089,-0.0715,13083.33
4h_h30_magnitude_0.001_t0.54_hold5,4h,30,magnitude_0.001,0.54,5,1501,0.4177,-6.734445,-8.64,0.677,-0.6734,3265.56
4h_h30_magnitude_0.001_t0.54_hold10,4h,30,magnitude_0.001,0.54,10,784,0.4834,-0.678957,-1.0,0.941,-0.2073,9321.04
4h_h30_magnitude_0.001_t0.54_hold15,4h,30,magnitude_0.001,0.54,15,534,0.5468,1.208761,1.796,1.147,-0.1775,11208.76
4h_h30_magnitude_0.001_t0.54_hold30,4h,30,magnitude_0.001,0.54,30,311,0.6109,2.842867,4.714,1.599,-0.1415,12842.87
4h_h30_magnitude_0.001_t0.54_hold60,4h,30,magnitude_0.001,0.54,60,186,0.6774,3.388971,6.41,2.317,-0.071,13388.97
4h_h30_magnitude_0.001_t0.56_hold5,4h,30,magnitude_0.001,0.56,5,1441,0.4136,-6.451058,-8.404,0.678,-0.6451,3548.94
4h_h30_magnitude_0.001_t0.56_hold10,4h,30,magnitude_0.001,0.56,10,750,0.4867,-0.615598,-0.921,0.944,-0.2079,9384.4
4h_h30_magnitude_0.001_t0.56_hold15,4h,30,magnitude_0.001,0.56,15,510,0.5471,1.088206,1.626,1.135,-0.1764,11088.21
4h_h30_magnitude_0.001_t0.56_hold30,4h,30,magnitude_0.001,0.56,30,287,0.6167,2.678828,4.476,1.584,-0.1425,12678.83
4h_h30_magnitude_0.001_t0.56_hold60,4h,30,magnitude_0.001,0.56,60,162,0.6914,3.076469,5.762,2.18,-0.071,13076.47
4h_h30_magnitude_0.001_t0.58_hold5,4h,30,magnitude_0.001,0.58,5,1291,0.4175,-3.754755,-5.561,0.77,-0.376,6245.24
4h_h30_magnitude_0.001_t0.58_hold10,4h,30,magnitude_0.001,0.58,10,687,0.4949,-0.193344,-0.307,0.981,-0.2009,9806.66
4h_h30_magnitude_0.001_t0.58_hold15,4h,30,magnitude_0.001,0.58,15,471,0.5244,1.158469,1.967,1.162,-0.162,11158.47
4h_h30_magnitude_0.001_t0.58_hold30,4h,30,magnitude_0.001,0.58,30,265,0.6189,2.211718,3.867,1.516,-0.1338,12211.72
4h_h30_magnitude_0.001_t0.58_hold60,4h,30,magnitude_0.001,0.58,60,148,0.6959,2.94905,5.615,2.194,-0.071,12949.05
4h_h30_magnitude_0.001_t0.6_hold5,4h,30,magnitude_0.001,0.6,5,1093,0.4236,-3.288842,-5.269,0.759,-0.3292,6711.16
4h_h30_magnitude_0.001_t0.6_hold10,4h,30,magnitude_0.001,0.6,10,598,0.4983,-0.219497,-0.349,0.976,-0.2015,9780.5
4h_h30_magnitude_0.001_t0.6_hold15,4h,30,magnitude_0.001,0.6,15,408,0.5368,1.91092,3.231,1.328,-0.1483,11910.92
4h_h30_magnitude_0.001_t0.6_hold30,4h,30,magnitude_0.001,0.6,30,233,0.6266,2.458433,4.581,1.691,-0.1305,12458.43
4h_h30_magnitude_0.001_t0.6_hold60,4h,30,magnitude_0.001,0.6,60,141,0.7234,3.224961,6.102,2.442,-0.0713,13224.96
4h_h30_magnitude_0.001_t0.65_hold5,4h,30,magnitude_0.001,0.65,5,438,0.4909,-0.852612,-2.21,0.846,-0.1921,9147.39
4h_h30_magnitude_0.001_t0.65_hold10,4h,30,magnitude_0.001,0.65,10,261,0.5287,-0.163715,-0.421,0.962,-0.139,9836.29
4h_h30_magnitude_0.001_t0.65_hold15,4h,30,magnitude_0.001,0.65,15,193,0.5699,1.170146,2.996,1.371,-0.0972,11170.15
4h_h30_magnitude_0.001_t0.65_hold30,4h,30,magnitude_0.001,0.65,30,116,0.6724,1.457321,4.334,1.781,-0.0876,11457.32
4h_h30_magnitude_0.001_t0.65_hold60,4h,30,magnitude_0.001,0.65,60,76,0.6974,1.545228,4.835,2.093,-0.0686,11545.23
4h_h30_magnitude_0.001_t0.7_hold5,4h,30,magnitude_0.001,0.7,5,193,0.4819,-0.849952,-3.427,0.711,-0.1407,9150.05
4h_h30_magnitude_0.001_t0.7_hold10,4h,30,magnitude_0.001,0.7,10,122,0.5246,-0.263283,-1.092,0.878,-0.1002,9736.72
4h_h30_magnitude_0.001_t0.7_hold15,4h,30,magnitude_0.001,0.7,15,95,0.5474,0.289336,1.163,1.151,-0.0918,10289.34
4h_h30_magnitude_0.001_t0.7_hold30,4h,30,magnitude_0.001,0.7,30,58,0.5517,-0.056273,-0.262,0.96,-0.0377,9943.73
4h_h30_magnitude_0.001_t0.7_hold60,4h,30,magnitude_0.001,0.7,60,39,0.4872,-0.257724,-1.061,0.833,-0.0686,9742.28
4h_h30_magnitude_0.001_t0.75_hold5,4h,30,magnitude_0.001,0.75,5,98,0.5,-0.433638,-3.928,0.72,-0.0905,9566.36
4h_h30_magnitude_0.001_t0.75_hold10,4h,30,magnitude_0.001,0.75,10,67,0.4478,-0.628381,-5.32,0.606,-0.0929,9371.62
4h_h30_magnitude_0.001_t0.75_hold15,4h,30,magnitude_0.001,0.75,15,49,0.4286,-0.367643,-3.325,0.714,-0.0664,9632.36
4h_h30_magnitude_0.001_t0.75_hold30,4h,30,magnitude_0.001,0.75,30,29,0.4138,-0.593109,-7.151,0.433,-0.0529,9406.89
4h_h30_magnitude_0.001_t0.75_hold60,4h,30,magnitude_0.001,0.75,60,17,0.1176,-1.12838,-14.961,0.077,-0.0942,8871.62
