config,bar_size,horizon,target_type,n_trades,win_rate,total_net_return,avg_net_return,sharpe,profit_factor,max_drawdown,avg_hold_bars,final_equity
15min_h1_binary,15min,1,binary,11351,0.1345,-88.022072,-0.007755,-124.216,0.119,-8.8045,8.1,-78022.07
15min_h1_magnitude_0.001,15min,1,magnitude_0.001,7810,0.1647,-61.052133,-0.007817,-87.202,0.145,-6.11,6.6,-51052.13
15min_h1_magnitude_0.002,15min,1,magnitude_0.002,1627,0.2766,-12.826991,-0.007884,-30.15,0.277,-1.2832,8.5,-2826.99
15min_h1_regression,15min,1,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15min_h3_binary,15min,3,binary,6277,0.1681,-46.515436,-0.00741,-78.141,0.171,-4.6492,9.1,-36515.44
15min_h3_magnitude_0.001,15min,3,magnitude_0.001,4951,0.2086,-35.549253,-0.00718,-62.109,0.207,-3.5566,8.9,-25549.25
15min_h3_magnitude_0.002,15min,3,magnitude_0.002,1899,0.2512,-15.256519,-0.008034,-39.022,0.235,-1.526,9.2,-5256.52
15min_h3_regression,15min,3,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15min_h5_binary,15min,5,binary,4673,0.1444,-34.870558,-0.007462,-89.945,0.125,-3.4892,9.1,-24870.56
15min_h5_magnitude_0.001,15min,5,magnitude_0.001,5769,0.1666,-45.617337,-0.007907,-80.543,0.135,-4.5641,8.6,-35617.34
15min_h5_magnitude_0.002,15min,5,magnitude_0.002,2969,0.2371,-22.211223,-0.007481,-51.213,0.196,-2.2214,9.3,-12211.22
15min_h5_regression,15min,5,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15min_h10_binary,15min,10,binary,1208,0.2219,-9.796558,-0.00811,-50.565,0.182,-0.9797,18.6,203.44
15min_h10_magnitude_0.001,15min,10,magnitude_0.001,2634,0.2821,-17.149376,-0.006511,-30.831,0.339,-1.7103,17.2,-7149.38
15min_h10_magnitude_0.002,15min,10,magnitude_0.002,2167,0.2907,-13.626524,-0.006288,-34.168,0.311,-1.3582,15.5,-3626.52
15min_h10_regression,15min,10,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15min_h15_binary,15min,15,binary,721,0.3051,-5.912402,-0.0082,-27.215,0.332,-0.5912,29.3,4087.6
15min_h15_magnitude_0.001,15min,15,magnitude_0.001,1144,0.3033,-11.27519,-0.009856,-28.386,0.27,-1.1272,24.8,-1275.19
15min_h15_magnitude_0.002,15min,15,magnitude_0.002,2032,0.3282,-13.939629,-0.00686,-24.97,0.392,-1.3894,22.6,-3939.63
15min_h15_regression,15min,15,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
15min_h30_binary,15min,30,binary,590,0.361,-5.131771,-0.008698,-12.623,0.43,-0.5484,52.0,4868.23
15min_h30_magnitude_0.001,15min,30,magnitude_0.001,704,0.3565,-5.905548,-0.008389,-14.107,0.422,-0.5884,57.1,4094.45
15min_h30_magnitude_0.002,15min,30,magnitude_0.002,444,0.3874,-3.203185,-0.007214,-7.89,0.534,-0.3207,58.6,6796.82
15min_h30_regression,15min,30,regression,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
